cluster,Player,Pos,player_code,Season,G,GS,MP,Height,PER,ORBrate,DRBrate,ASTrate,STLrate,BLKrate,TOVrate,PTS,USGrate,FTr,FT_perc,FGA,FGperc2P,FGperc3P,2PTperc_Assisted,FGAperc3P,CornerPerc3PA,3PTperc_Assisted,DunkspercFGA,FGAperc0to3,FGAperc3to10,FGAperc10to16,FGAperc16to3P,poss,mp,raptor_total,war_reg_season,predator_total,pace_impact
3PT Shooting Swingmen,Álex Abrines,SG,abrinal01,2017,68,6,1055,78,10.1,1.9,7.1,5.5,1.7,0.6,8.3,18.9,15.9,0.144,0.898,15.9,0.426,0.381,0.6,0.724,0.231,0.968,0.015,0.12,0.047,0.044,0.065,2387,1135,-0.601410556,1.447708122,-0.961575257,0.326412665
3PT Shooting Swingmen,Álex Abrines,SG,abrinal01,2018,75,8,1134,78,9,2.5,8.9,3.4,1.7,0.6,7.4,15.4,12.7,0.158,0.848,12.7,0.443,0.38,0.548,0.759,0.253,1,0.034,0.127,0.041,0.027,0.041,2546,1244,-1.523467566,0.465912151,-1.287246558,-0.456141151
3PT Shooting Swingmen,Álex Abrines,SG,abrinal01,2019,31,2,588,78,6.3,0.9,7.8,4.3,1.3,0.9,7.9,13.1,12.2,0.083,0.923,12.5,0.5,0.323,0.8,0.809,0.205,0.951,0.006,0.102,0.025,0.019,0.045,1279,588,-2.154538232,0.17816732,-3.034395865,-0.268013102
Stretch Forwards,Quincy Acy,SF,acyqu01,2014,7,0,61,79,17.2,9.5,19.2,10.1,3.4,3.9,10.2,16.3,14.5,0.571,0.625,12,0.444,0.4,0.75,0.357,0.4,1,0.143,0.357,0.071,0,0.214,1716,847,-1.781733942,0.415918084,-1.688171329,-0.554897683
Stretch Forwards,Quincy Acy,SF,acyqu01,2014,56,0,786,79,9.6,9.5,19.5,4.4,1.2,2.4,16,9.8,9.8,0.354,0.667,8.2,0.496,0.2,0.69,0.079,0.8,1,0.197,0.472,0.236,0.055,0.157,1716,847,-1.781733942,0.415918084,-1.688171329,-0.554897683
Stretch Forwards,Quincy Acy,PF,acyqu01,2015,68,22,1287,79,11.9,6.9,20.5,8.7,1.1,1.4,13.8,16.3,15.5,0.293,0.784,13.5,0.494,0.3,0.724,0.181,0.383,1,0.106,0.296,0.094,0.133,0.296,2517,1287,-2.877012641,-0.083312615,-4.44524821,-0.100453505
Stretch Forwards,Quincy Acy,PF,acyqu01,2016,59,29,876,79,14.7,8.1,15.1,4.4,1.6,2.2,10,16.8,13.1,0.318,0.735,11.7,0.606,0.388,0.71,0.229,0.347,0.947,0.215,0.458,0.121,0.037,0.154,1852,876,-0.233607091,1.123479142,-1.384137685,-0.102988345
Stretch Forwards,Quincy Acy,PF,acyqu01,2017,6,0,48,79,-1.4,4.6,15.2,0,0,0,9.8,14.1,20,0.176,0.667,18.4,0.4,0.143,0.75,0.412,0.286,1,0.118,0.235,0.118,0.059,0.118,1169,558,0.232519568,0.835632018,-0.981264468,0.125008446
Stretch Forwards,Quincy Acy,PF,acyqu01,2017,32,1,510,79,13.1,3.8,18.2,5.4,1.3,2.2,9.6,19.4,16.5,0.373,0.754,14.2,0.414,0.434,0.724,0.542,0.277,0.972,0.026,0.268,0.059,0.078,0.052,1169,558,0.232519568,0.835632018,-0.981264468,0.125008446
Stretch Forwards,Quincy Acy,PF,acyqu01,2018,70,8,1359,79,8.2,3.1,17.1,6,1.2,1.6,13.3,14.7,14.4,0.164,0.817,13,0.384,0.349,0.857,0.8,0.305,0.99,0.036,0.115,0.027,0.025,0.033,2856,1359,-2.866996621,-0.08123232,-2.717059388,0.136139262
