lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,KGarnett,RAllen,PPierce,KPerkins,RRondo,BOS,51,1075,12.7,91.92,2009
2,RBell,GWallace,BDiaw,EOkafor,RFelton,CHA,40,810,8.5,91.7,2009
3,AMiller,SDalembert,WGreen,AIguodala,TYoung,PHI,52,784,6.0,89.44,2009
4,RGay,MConley,MGasol,OMayo,DArthur,MEM,63,709,-9.1,91.7,2009
5,MBibby,JJohnson,JSmith,MWilliams,AHorford,ATL,33,568,-4.2,91.53,2009
6,JPrzybilla,SBlake,LAldridge,BRoy,NBatum,POR,53,561,17.9,86.75,2009
7,MWorldPeace,SBattier,Yao,LScola,ABrooks,HOU,30,556,10.0,90.06,2009
8,MFinley,TDuncan,TParker,RMasonJr,MBonner,SAS,58,554,8.1,91.09,2009
9,CBillups,KMartin,Nene,CAnthony,DJones,DEN,42,540,-0.6,94.32,2009
10,DFisher,KBryant,LOdom,PGasol,TAriza,LAL,71,499,15.8,97.43,2009
11,ZIlgauskas,BWallace,LJames,MWilliams,DWest,CLE,30,486,19.4,90.3,2009
12,ZIlgauskas,LJames,MWilliams,DWest,AVarejao,CLE,39,475,13.3,90.32,2009
13,MOkur,DWilliams,CMiles,RBrewer,PMillsap,UTA,42,468,-1.0,95.15,2009
14,DFisher,KBryant,PGasol,VRadmanovic,ABynum,LAL,32,452,5.3,95.07,2009
15,DFisher,KBryant,LOdom,PGasol,LWalton,LAL,40,423,17.5,94.23,2009
16,PStojakovic,TChandler,RButler,DWest,CPaul,NOH,25,423,7.6,90.12,2009
17,RLewis,RAlston,HTurkoglu,DHoward,CLee,ORL,24,415,2.9,96.46,2009
18,GHill,SO'Neal,SNash,JRichardson,AStoudemire,PHX,24,392,8.2,97.02,2009
19,JKidd,EDampier,DNowitzki,JHoward,AWright,DAL,34,392,4.7,93.11,2009
20,MCamby,BDavis,ZRandolph,AThornton,EGordon,LAC,23,387,-2.3,95.49,2009
21,AParker,SMarion,CBosh,JCalderon,ABargnani,TOR,22,386,-6.2,95.73,2009
22,GHill,SO'Neal,SNash,JRichardson,MBarnes,PHX,31,375,2.6,101.05,2009
23,HWarrick,RGay,MConley,MGasol,OMayo,MEM,67,371,-0.6,93.81,2009
24,RAllen,PPierce,KPerkins,RRondo,GDavis,BOS,36,361,-5.4,88.19,2009
25,SMarion,DWade,UHaslem,JAnthony,MChalmers,MIA,29,361,-2.0,91.12,2009
26,EBrand,AMiller,SDalembert,AIguodala,TYoung,PHI,20,343,9.7,92.56,2009
27,VCarter,BSimmons,DHarris,JYi,BLopez,NJN,28,332,2.4,94.19,2009
28,BGordon,LDeng,TThomas,JNoah,DRose,CHI,31,320,-7.4,92.88,2009
29,MBibby,JJohnson,MEvans,JSmith,AHorford,ATL,37,316,-0.6,90.62,2009
30,AHarrington,QRichardson,CDuhon,DLee,WChandler,NYK,39,312,-5.4,100.51,2009
