player1,player2,player3,player4,player5,Tm,GP,Min,NETRTG,Poss
PMillsapDEN ,WBartonDEN ,GHarrisDEN ,NJokicDEN ,JMurrayDEN ,DEN ,38,735,7.7,1501
KLoveCLE ,TThompsonCLE ,COsmanCLE ,CSextonCLE ,DGarlandCLE ,CLE ,44,679,-8.6,1432
BBogdanovicUTA ,RGobertUTA ,JInglesUTA ,RO'NealeUTA ,DMitchellUTA ,UTA ,50,570,13.7,1193
LAldridgeSAS ,DDeRozanSAS ,TLylesSAS ,DMurraySAS ,BForbesSAS ,SAS ,40,505,0,1049
GTempleBKN ,SDinwiddieBKN ,JHarrisBKN ,TPrinceBKN ,JAllenBKN ,BKN ,44,491,-0.1,1032
JButlerMIA ,MLeonardMIA ,BAdebayoMIA ,DRobinsonMIA ,KNunnMIA ,MIA ,39,488,13.4,979
JValanciunasMEM ,JCrowderMEM ,DBrooksMEM ,JJacksonMEM ,JMorantMEM ,MEM ,36,413,6.3,880
BLopezMIL ,WMatthewsMIL ,EBledsoeMIL ,KMiddletonMIL ,GAntetokounmpoMIL ,MIL ,37,408,19.1,936
LJamesLAL ,JMcGeeLAL ,DGreenLAL ,ABradleyLAL ,ADavisLAL ,LAL ,33,389,12.6,829
MConleyUTA ,BBogdanovicUTA ,RGobertUTA ,RO'NealeUTA ,DMitchellUTA ,UTA ,35,381,9.7,793
PTuckerHOU ,RWestbrookHOU ,JHardenHOU ,CCapelaHOU ,DHouseHOU ,HOU ,29,356,7.6,787
JLambIND ,TWarrenIND ,MTurnerIND ,DSabonisIND ,MBrogdonIND ,IND ,25,355,8.2,719
CPaulOKC ,DGallinariOKC ,SAdamsOKC ,TFergusonOKC ,SGilgeous-AlexanderOKC ,OKC ,31,328,-3.5,671
TSatoranskyCHI ,ZLaVineCHI ,KDunnCHI ,LMarkkanenCHI ,WCarterCHI ,CHI ,22,317,8.1,657
CAnthonyPOR ,HWhitesidePOR ,DLillardPOR ,KBazemorePOR ,CMcCollumPOR ,POR ,20,316,3,654
CZellerCHA ,TRozierCHA ,MBridgesCHA ,DGrahamCHA ,PWashingtonCHA ,CHA ,42,284,0.3,571
KLowryTOR ,MGasolTOR ,PSiakamTOR ,FVanVleetTOR ,OAnunobyTOR ,TOR ,17,280,11.7,600
BBiyomboCHA ,TRozierCHA ,MBridgesCHA ,DGrahamCHA ,PWashingtonCHA ,CHA ,26,263,-6.2,531
NBjelicaSAC ,CJosephSAC ,HBarnesSAC ,RHolmesSAC ,BHieldSAC ,SAC ,23,262,2.6,530
LJamesLAL ,JMcGeeLAL ,DGreenLAL ,ADavisLAL ,KCaldwell-PopeLAL ,LAL ,22,253,3.4,542
RRubioPHX ,ABaynesPHX ,DSaricPHX ,KOubrePHX ,DBookerPHX ,PHX ,20,245,6.4,530
AHorfordPHI ,THarrisPHI ,JEmbiidPHI ,JRichardsonPHI ,BSimmonsPHI ,PHI ,22,244,8.5,517
TGibsonNYK ,MMorrisNYK ,JRandleNYK ,FNtilikinaNYK ,RBarrettNYK ,NYK ,22,241,-6.7,488
NVucevicORL ,EFournierORL ,AGordonORL ,MFultzORL ,JIsaacORL ,ORL ,19,240,1.9,508
JHolidayIND ,DMcDermottIND ,TMcConnellIND ,DSabonisIND ,AHolidayIND ,IND ,32,237,7.2,509
MConleyUTA ,BBogdanovicUTA ,RGobertUTA ,JInglesUTA ,DMitchellUTA ,UTA ,33,236,-8.1,501
NVucevicORL ,TRossORL ,EFournierORL ,AGordonORL ,MFultzORL ,ORL ,38,233,0.2,505
CAnthonyPOR ,TArizaPOR ,HWhitesidePOR ,DLillardPOR ,CMcCollumPOR ,POR ,12,230,5.6,487
JHolidayNOP ,DFavorsNOP ,BIngramNOP ,LBallNOP ,ZWilliamsonNOP ,NOP ,17,230,26.3,519
RRubioPHX ,KOubrePHX ,DBookerPHX ,MBridgesPHX ,DAytonPHX ,PHX ,21,226,20.2,489
PBeverleyLAC ,PGeorgeLAC ,KLeonardLAC ,MHarklessLAC ,IZubacLAC ,LAC ,18,215,9.3,460
SDinwiddieBKN ,JHarrisBKN ,CLeVertBKN ,TPrinceBKN ,JAllenBKN ,BKN ,24,208,11.6,432
JCollinsATL ,KHuerterATL ,TYoungATL ,CReddishATL ,DHunterATL ,ATL ,23,205,6.1,466
THardawayDAL ,DPowellDAL ,KPorzingisDAL ,DFinney-SmithDAL ,LDoncicDAL ,DAL ,19,205,11,431
KLowryTOR ,SIbakaTOR ,PSiakamTOR ,FVanVleetTOR ,OAnunobyTOR ,TOR ,20,197,-5.5,418
WBartonDEN ,GHarrisDEN ,JGrantDEN ,NJokicDEN ,JMurrayDEN ,DEN ,37,197,-3.5,401
MGasolTOR ,NPowellTOR ,PSiakamTOR ,FVanVleetTOR ,OAnunobyTOR ,TOR ,18,192,16.1,392
GHaywardBOS ,KWalkerBOS ,JBrownBOS ,JTatumBOS ,DTheisBOS ,BOS ,17,188,12.5,396
IThomasWAS ,BBealWAS ,TBryantWAS ,TBrownWAS ,RHachimuraWAS ,WAS ,15,180,-17.2,396
CPaulOKC ,DGallinariOKC ,DSchroderOKC ,SAdamsOKC ,SGilgeous-AlexanderOKC ,OKC ,41,177,29.9,403
NBjelicaSAC ,HBarnesSAC ,RHolmesSAC ,BHieldSAC ,DFoxSAC ,SAC ,15,176,1.6,370
JLambIND ,TWarrenIND ,MTurnerIND ,DSabonisIND ,AHolidayIND ,IND ,13,170,4.3,347
GHaywardBOS ,KWalkerBOS ,MSmartBOS ,JTatumBOS ,DTheisBOS ,BOS ,14,169,13.1,357
PTuckerHOU ,RWestbrookHOU ,JHardenHOU ,RCovingtonHOU ,DHouseHOU ,HOU ,10,164,10.7,355
CPaulOKC ,DGallinariOKC ,SAdamsOKC ,SGilgeous-AlexanderOKC ,LDortOKC ,OKC ,17,162,-3,332
JButlerMIA ,DJonesMIA ,BAdebayoMIA ,DRobinsonMIA ,KNunnMIA ,MIA ,24,162,11.4,334
AHorfordPHI ,THarrisPHI ,BSimmonsPHI ,FKorkmazPHI ,MThybullePHI ,PHI ,33,156,-0.9,329
RRubioPHX ,DSaricPHX ,KOubrePHX ,FKaminskyPHX ,DBookerPHX ,PHX ,21,154,6.6,331
PTuckerHOU ,RWestbrookHOU ,JHardenHOU ,BMcLemoreHOU ,CCapelaHOU ,HOU ,24,151,11.9,341
GHaywardBOS ,MSmartBOS ,JBrownBOS ,JTatumBOS ,DTheisBOS ,BOS ,12,150,1.9,319
JRedickNOP ,JHolidayNOP ,DFavorsNOP ,BIngramNOP ,LBallNOP ,NOP ,21,146,-1,325
LJamesLAL ,DHowardLAL ,RRondoLAL ,KCaldwell-PopeLAL ,KKuzmaLAL ,LAL ,25,145,13.8,294
NBjelicaSAC ,HBarnesSAC ,BBogdanovicSAC ,DFoxSAC ,HGilesISAC ,SAC ,15,142,-20.6,294
