lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
1,PStojakovic,MPeterson,TChandler,DWest,CPaul,NOH,63,1210,11.1,92.81,2008
2,AMcDyess,RWallace,CBillups,RHamilton,TPrince,DET,64,1139,11.9,86.42,2008
3,KGarnett,RAllen,PPierce,KPerkins,RRondo,BOS,59,1073,19.4,93.14,2008
4,AKirilenko,MOkur,CBoozer,DWilliams,RBrewer,UTA,59,975,4.6,95.85,2008
5,AIverson,MCamby,ACarter,KMartin,CAnthony,DEN,52,924,2.2,101.59,2008
6,AMiller,SDalembert,REvans,WGreen,AIguodala,PHI,65,871,0.6,90.22,2008
7,ADaniels,AJamison,DStevenson,BHaywood,CButler,WAS,40,737,1.2,90.53,2008
8,RLewis,HTurkoglu,KBogans,DHoward,JNelson,ORL,57,674,2.4,99.78,2008
9,JPrzybilla,SBlake,MWebster,LAldridge,BRoy,POR,56,571,1.3,88.71,2008
10,AParker,CBosh,JCalderon,JMoon,ABargnani,TOR,45,556,9.5,88.64,2008
11,AJohnson,JJohnson,JSmith,MWilliams,AHorford,ATL,40,542,1.6,92.79,2008
12,SJackson,AHarrington,BDavis,ABiedrins,MEllis,GSW,49,512,14.1,101.96,2008
13,DMason,MRedd,MWilliams,ABogut,JYi,MIL,33,499,-2.7,90.66,2008
14,JMcInnis,JRichardson,GWallace,EOkafor,RFelton,CHA,40,495,-4.1,93.83,2008
15,RLewis,HTurkoglu,MEvans,DHoward,JNelson,ORL,42,471,11.0,93.82,2008
16,MBibby,JJohnson,JSmith,MWilliams,AHorford,ATL,31,445,1.5,94.37,2008
17,GHill,SNash,SMarion,RBell,AStoudemire,PHX,31,423,16.6,101.7,2008
18,MFinley,BBowen,TDuncan,TParker,FOberto,SAS,50,420,1.9,87.96,2008
19,DFisher,KBryant,LOdom,PGasol,VRadmanovic,LAL,22,389,12.3,95.81,2008
20,MMoore,BMiller,MWorldPeace,KMartin,BUdrih,SAC,27,381,0.9,97.11,2008
21,AMiller,SDalembert,WGreen,AIguodala,TYoung,PHI,36,367,-1.1,94.36,2008
22,TMcGrady,RAlston,SBattier,Yao,CHayes,HOU,31,357,5.8,92.28,2008
23,JKidd,VCarter,RJefferson,JBoone,SWilliams,NJN,31,344,-4.4,94.99,2008
24,GHill,SO'Neal,SNash,RBell,AStoudemire,PHX,23,310,7.1,95.76,2008
25,TMcGrady,RAlston,SBattier,Yao,LScola,HOU,29,291,10.5,93.58,2008
26,DMason,MRedd,MWilliams,ABogut,CVillanueva,MIL,31,285,-3.7,94.12,2008
27,SBlake,MWebster,CFrye,LAldridge,BRoy,POR,51,285,11.6,92.06,2008
28,AParker,RNesterovic,CBosh,TFord,JMoon,TOR,18,276,14.6,92.88,2008
29,DFisher,KBryant,LOdom,LWalton,ABynum,LAL,22,272,18.0,100.66,2008
30,SMarbury,JCrawford,QRichardson,ECurry,ZRandolph,NYK,20,265,-20.8,95.83,2008
31,DMutombo,TMcGrady,RAlston,SBattier,LScola,HOU,20,261,8.8,90.7,2008
32,MMoore,BMiller,JSalmons,BUdrih,FGarcia,SAC,22,260,-3.3,93.89,2008
33,JFoster,TMurphy,MDunleavy,DGranger,TDiener,IND,26,253,-0.5,95.67,2008
34,JRichardson,GWallace,MCarroll,EOkafor,RFelton,CHA,43,243,5.5,100.28,2008
35,SJackson,AHarrington,BDavis,MBarnes,MEllis,GSW,39,234,5.4,105.58,2008
36,DFisher,KBryant,LOdom,VRadmanovic,RTuriaf,LAL,22,233,12.0,95.25,2008
37,NMohammed,JRichardson,GWallace,EOkafor,RFelton,CHA,22,230,-7.7,91.91,2008
38,MJaric,AJefferson,KSnyder,RGomes,RFoye,MIN,20,229,0.3,94.38,2008
39,SNash,RBell,AStoudemire,BDiaw,LBarbosa,PHX,55,226,6.9,101.88,2008
40,MHarpring,MOkur,KKorver,DWilliams,PMillsap,UTA,43,221,3.3,93.08,2008
41,ZIlgauskas,DGooden,LJames,SPavlovic,DGibson,CLE,17,215,9.5,94.36,2008
42,VCarter,RJefferson,NKrstic,DHarris,JBoone,NJN,15,212,2.7,96.06,2008
43,JCrawford,QRichardson,ECurry,ZRandolph,FJones,NYK,26,210,-11.8,95.68,2008
44,AParker,RNesterovic,JCalderon,JMoon,ABargnani,TOR,24,209,8.0,95.72,2008
45,RLewis,HTurkoglu,CArroyo,KBogans,DHoward,ORL,38,209,16.3,93.06,2008
46,RLewis,HTurkoglu,MEvans,CArroyo,DHoward,ORL,24,209,8.0,90.43,2008
47,SJackson,BDavis,MPietrus,ABiedrins,MEllis,GSW,29,209,18.0,100.93,2008
48,MMiller,DMilicic,HWarrick,RGay,MConley,MEM,23,207,-13.6,98.73,2008
49,EWatson,NCollison,JPetro,KDurant,JGreen,SEA,33,205,-6.7,100.03,2008
50,KThomas,EWatson,CWilcox,DWilkins,KDurant,SEA,20,204,-2.4,98.49,2008
51,JO'Neal,TMurphy,JTinsley,MDunleavy,DGranger,IND,19,203,-10.8,102.37,2008
52,MMoore,BMiller,MWorldPeace,JSalmons,BUdrih,SAC,14,203,-1.7,95.08,2008
53,JKidd,EDampier,DNowitzki,JTerry,JHoward,DAL,19,198,7.9,94.92,2008
54,ZIlgauskas,LHughes,DGooden,LJames,SPavlovic,CLE,15,196,-2.0,95.61,2008
55,JSmith,BWallace,KHinrich,BGordon,LDeng,CHI,20,195,2.2,92.02,2008
56,DStoudamire,MMiller,PGasol,DMilicic,RGay,MEM,16,194,-12.9,96.07,2008
57,PStojakovic,TChandler,JPargo,DWest,CPaul,NOH,40,193,14.3,93.92,2008
58,ADaniels,AJamison,DStevenson,BHaywood,ABlatche,WAS,17,190,-4.1,87.59,2008
59,AMcDyess,CBillups,RHamilton,TPrince,JMaxiell,DET,45,190,10.3,89.71,2008
60,JRichardson,MCarroll,EOkafor,RFelton,JDudley,CHA,28,190,15.3,95.81,2008
61,MBibby,JJohnson,JChildress,JSmith,AHorford,ATL,28,188,4.2,95.44,2008
62,EWatson,CWilcox,NCollison,DWilkins,KDurant,SEA,33,186,-15.0,101.64,2008
63,PBrezec,JRichardson,GWallace,EOkafor,RFelton,CHA,16,185,-10.0,92.93,2008
64,SO'Neal,JWilliams,RDavis,DWade,UHaslem,MIA,19,184,-2.7,94.5,2008
65,AKirilenko,MOkur,CBoozer,KKorver,DWilliams,UTA,34,182,6.0,98.3,2008
